Metadata,,,,,,,,,,,,,,,
This file contains observations for an area of interest.,,,,,,,,,,,,,,,
Exported 2026-03-13,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
eventDate,kingdom,phylum,class,order,family,genus,scientificName,vernacularName,,stateConservation,occurrenceRemarks,habitat,#B,decimalLatitude,decimalLongitude
23/09/2025,Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Leionema,Leionema lachnaeoides,NA,0,Endangered,occurrenceRemarks withheld,NA,,-33.70783,150.277234
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.675615,150.269105
28/11/2021 9:19,Animalia,Chordata,Aves,Passeriformes,Acanthizidae,Pyrrholaemus,Pyrrholaemus sagittatus,Speckled Warbler,0,Vulnerable,NA,NA,,-33.733432,150.212043
22/11/2024,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.736539,150.26576
5/10/2016 13:45,Animalia,Chordata,Aves,Passeriformes,Neosittidae,Daphoenositta,Daphoenositta (Neositta) chrysoptera,Varied Sittella,0,Vulnerable,NA,NA,,-33.701389,150.253333
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.67558,150.269128
17/09/2024,Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Leionema,Leionema lachnaeoides,NA,0,Endangered,occurrenceRemarks withheld,NA,,-33.691359,150.280975
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.672993,150.269134
17/03/2017,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Petroica (Littlera) phoenicea,Flame Robin,0,Vulnerable,NA,NA,,-33.665537,150.261388
22/11/2024,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.736592,150.26603
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.675653,150.26918
18/03/2025 9:13,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,NA,NA,,-33.7,150.26
4/04/2024 14:56,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Petroica (Petroica) boodang,Scarlet Robin,0,Vulnerable,NA,NA,,-33.691131,150.248568
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.675583,150.269268
12/01/2019,Animalia,Chordata,Reptilia,Squamata,Elapidae,Hoplocephalus,Hoplocephalus bungaroides,Broad-headed Snake,0,Endangered,occurrenceRemarks withheld,habitat withheld,,-33.7,150.3
27/12/2020 8:18,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Stagonopleura,Stagonopleura (Stagonopleura) guttata,Diamond Firetail,0,Vulnerable,Carrying nest material.,NA,,-33.734207,150.226836
9/11/2024 10:00,Animalia,Chordata,Aves,Apodiformes,Apodidae,Hirundapus,Hirundapus caudacutus,White-throated Needletail,0,Vulnerable,NA,NA,,-33.738116,150.280856
25/10/2021,Plantae,Charophyta,Equisetopsida,Lamiales,Scrophulariaceae,Euphrasia,Euphrasia bowdeniae,Blue Mountains Cliff Eyebright,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.736649,150.281935
14/01/2020 8:44,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,NA,NA,,-33.73,150.29
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.673938,150.269104
26/01/2025 13:15,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Petroica (Petroica) boodang,Scarlet Robin,0,Vulnerable,NA,NA,,-33.738116,150.280856
4/05/2022,Plantae,Charophyta,Equisetopsida,Proteales,Proteaceae,Persoonia,Persoonia acerosa,Needle Geebung,0,Endangered,occurrenceRemarks withheld,NA,,-33.695451,150.28446
4/12/2020,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon purpurascens,NA,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.694815,150.262512
29/10/2019,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Thelymitra,Thelymitra atronitida,Black-hooded Sun Orchid,0,Critically Endangered,Terrestrial herb.,NA,,-33.7,150.3
22/11/2024,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.736544,150.265786
16/11/2024 7:42,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,NA,NA,,-33.71,150.29
8/12/2021,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,occurrenceRemarks withheld,habitat withheld,,-33.67,150.28
10/08/2021 9:06,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,3,Endangered,Pair,NA,,-33.74,150.28
5/05/2022,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus cypellocarpa,Monkey Gum,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.68989,150.282734
15/10/2025,Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Leionema,Leionema lachnaeoides,NA,0,Endangered,occurrenceRemarks withheld,NA,,-33.707639,150.278678
23/09/2025,Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Leionema,Leionema lachnaeoides,NA,0,Endangered,occurrenceRemarks withheld,NA,,-33.708175,150.275778
19/09/2023,Animalia,Chordata,Mammalia,Diprotodontia,Burramyidae,Cercartetus,Cercartetus nanus,Eastern Pygmy-possum,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.698257,150.278755
15/12/2022,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus cypellocarpa,Monkey Gum,0,Vulnerable,occurrenceRemarks withheld,Open forest,,-33.675677,150.26917
29/11/2024 7:05,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Petroica (Petroica) boodang,Scarlet Robin,0,Vulnerable,NA,NA,,-33.734207,150.226836
23/12/2020 11:01,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,NA,NA,,-33.73,150.28
9/12/2021,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon purpurascens,NA,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.726618,150.248078
15/09/2021,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,Koala,0,Endangered,occurrenceRemarks withheld,NA,,-33.704428,150.291083
13/02/2017,Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus maculatus,Bindjulang,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.70169,150.281051
19/12/2024 10:00,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,NA,NA,,-33.71,150.24
20/12/2022,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon purpurascens,NA,0,Critically Endangered,occurrenceRemarks withheld,Shrubland,,-33.72475,150.24776
16/11/2016,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,NA,NA,,-33.7,150.25
23/02/2017,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Petroica (Petroica) boodang,Scarlet Robin,0,Vulnerable,NA,NA,,-33.731209,150.286596
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.672975,150.269135
27/11/2022 7:58,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia baueri subsp. aspera,NA,0,Endangered,NA,NA,,-33.727357,150.293304
23/05/2024,Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Zieria,Zieria covenyi,Coveny's Zieria,1,Endangered,occurrenceRemarks withheld,NA,,-33.711417,150.294111
9/12/2021,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon purpurascens,NA,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.724677,150.247536
13/09/2021,Plantae,Charophyta,Equisetopsida,Proteales,Proteaceae,Persoonia,Persoonia acerosa,Needle Geebung,0,Endangered,occurrenceRemarks withheld,NA,,-33.704497,150.291767
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.673958,150.269168
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.676532,150.268979
9/12/2021,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon purpurascens,NA,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.723654,150.247139
11/11/2022,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.73147,150.265631
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.675744,150.26922
23/07/2023 13:08,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,NA,NA,,-33.67553,150.269269
22/11/2024,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.73668,150.2657
15/04/2021 7:39,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,NA,NA,,-33.72,150.28
17/09/2021,Animalia,Chordata,Aves,Passeriformes,Climacteridae,Climacteris,Climacteris (Climacteris) picumnus victoriae,South-eastern Brown Treecreeper,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.695017,150.289372
22/11/2024,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,2,Critically Endangered,occurrenceRemarks withheld,NA,,-33.736752,150.26506
14/03/2021,Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctos cinereus,Koala,0,Endangered,occurrenceRemarks withheld,NA,,-33.711138,150.233122
17/09/2018,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Acacia,Acacia flocktoniae,Flockton Wattle,0,Vulnerable,occurrenceRemarks withheld,NA,,-33.67568,150.269189
31/03/2022 11:36,Animalia,Chordata,Aves,Passeriformes,Petroicidae,Petroica,Petroica (Petroica) boodang,Scarlet Robin,0,Vulnerable,NA,NA,,-33.701389,150.253333
23/11/2022,Plantae,Charophyta,Equisetopsida,Pinales,Podocarpaceae,Pherosphaera,Pherosphaera fitzgeraldii,Dwarf Mountain Pine,0,Endangered,occurrenceRemarks withheld,Closed forest,,-33.72971,150.29427
28/05/2025,Plantae,Charophyta,Equisetopsida,Lamiales,Scrophulariaceae,Euphrasia,Euphrasia bowdeniae,Blue Mountains Cliff Eyebright,0,Vulnerable,occurrenceRemarks withheld,Isolated clumps of ferns,,-33.707417,150.276625
22/11/2024,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,0,Critically Endangered,occurrenceRemarks withheld,NA,,-33.736569,150.265866
12/04/2021 11:00,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Callocephalon,Callocephalon fimbriatum,Gang-gang Cockatoo,0,Endangered,4 males & 4 females,NA,,-33.72,150.29
24/01/2023,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,Calyptorhynchus (Calyptorhynchus) lathami lathami,South-eastern Glossy Black-cockatoo,0,Vulnerable,occurrenceRemarks withheld,habitat withheld,,-33.7,150.3
13/11/2024 23:33,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Prasophyllum,Prasophyllum pallens,Musty Leek Orchid,0,Vulnerable,NA,NA,,-33.7,150.3
6/05/2022,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,Calyptorhynchus (Calyptorhynchus) lathami lathami,South-eastern Glossy Black-cockatoo,0,Vulnerable,occurrenceRemarks withheld,habitat withheld,,-33.7,150.3
21/12/2022,Plantae,Charophyta,Equisetopsida,Myrtales,Myrtaceae,Callistemon,Callistemon megalongensis,Megalong Valley Bottlebrush,2,Critically Endangered,occurrenceRemarks withheld,Shrubland,,-33.73115,150.272833
14/03/2025,Animalia,Chordata,Aves,Psittaciformes,Cacatuidae,Calyptorhynchus,Calyptorhynchus (Calyptorhynchus) lathami lathami,South-eastern Glossy Black-cockatoo,0,Vulnerable,occurrenceRemarks withheld,habitat withheld,,-33.7,150.3
25/09/2024 12:33,Plantae,Charophyta,Equisetopsida,Asparagales,Orchidaceae,Diuris,Diuris,Golden Moths,0,Endangered,NA,NA,,-33.7,150.3
8/09/2024,Plantae,Charophyta,Equisetopsida,Sapindales,Rutaceae,Leionema,Leionema lachnaeoides,NA,0,Endangered,occurrenceRemarks withheld,NA,,-33.667944,150.261337
,,,,,,,,,,,,,,,
Text added at the end of data sets is really annoying and needs to be deleted.,,,,,,,,,,,,,,,
